index,system time,time stamp,channel,Rx/Tx,ID,Frame,type,DLC,CAN-FD,data
74908,="15:44:27.406",0xB23D844,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 10 A4 63 01 
74909,="15:44:27.406",0xB23D90C,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 01 12 00 00 00 
74910,="15:44:27.416",0xB23FBD0,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 12 22 00 
74911,="15:44:27.416",0xB23FC98,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 0F A4 60 02 
74912,="15:44:27.416",0xB23FD60,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 02 12 00 00 00 
74913,="15:44:27.416",0xB2400E4,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
74914,="15:44:27.426",0xB2422E0,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 13 23 00 
74915,="15:44:27.426",0xB2423A8,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 0F A4 60 03 
74916,="15:44:27.426",0xB242470,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 03 13 00 00 00 
74917,="15:44:27.436",0xB244B80,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 13 20 00 
74918,="15:44:27.436",0xB244C48,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 14 A4 60 00 
74919,="15:44:27.436",0xB244D74,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 00 13 00 00 00 
74920,="15:44:27.438",0xB2451C0,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
74921,="15:44:27.446",0xB247100,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 0E 21 00 
74922,="15:44:27.446",0xB2471C8,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 14 A4 60 01 
74923,="15:44:27.446",0xB247290,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 01 0E 00 00 00 
74924,="15:44:27.446",0xB2477A4,1,Rx,0x314,Standard Frame,data frame,8,CAN,x| 00 00 00 00 00 00 9A 01 
74925,="15:44:27.448",0xB2478D0,1,Rx,0x500,Standard Frame,data frame,8,CAN,x| 75 01 00 3F 3F 3F 3F 3F 
74926,="15:44:27.448",0xB247998,1,Rx,0x32E,Standard Frame,data frame,8,CAN,x| 00 00 00 01 64 00 00 00 
74927,="15:44:27.456",0xB249ACC,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 13 22 00 
74928,="15:44:27.456",0xB249B30,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 14 A4 60 02 
74929,="15:44:27.456",0xB249C5C,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 02 13 00 00 00 
74930,="15:44:27.458",0xB249FE0,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
74931,="15:44:27.466",0xB24BEBC,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 13 23 00 
74932,="15:44:27.466",0xB24BF84,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 12 A4 5E 03 
74933,="15:44:27.466",0xB24C0B0,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 03 13 00 00 00 
74934,="15:44:27.476",0xB24E5CC,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 13 20 00 
74935,="15:44:27.476",0xB24E694,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 12 A4 5D 00 
74936,="15:44:27.476",0xB24E7C0,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 00 13 00 00 00 
74937,="15:44:27.476",0xB24E888,1,Rx,0x310,Standard Frame,data frame,8,CAN,x| 01 3D 00 00 00 00 08 00 
74938,="15:44:27.476",0xB24E9B4,1,Rx,0x318,Standard Frame,data frame,8,CAN,x| 01 41 FF 00 00 00 10 80 
74939,="15:44:27.478",0xB24ED9C,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
74940,="15:44:27.486",0xB250ED0,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 13 21 00 
74941,="15:44:27.486",0xB250F98,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 16 A4 5C 01 
74942,="15:44:27.486",0xB251060,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 01 13 00 00 00 
74943,="15:44:27.496",0xB2533EC,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 0E 22 00 
74944,="15:44:27.496",0xB2534B4,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 16 A4 5F 02 
74945,="15:44:27.496",0xB25357C,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 02 0E 00 00 00 
74946,="15:44:27.496",0xB253900,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
74947,="15:44:27.506",0xB255DB8,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 13 23 00 
74948,="15:44:27.506",0xB255E80,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 16 A4 5F 03 
74949,="15:44:27.506",0xB255FAC,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 03 13 00 00 00 
74950,="15:44:27.516",0xB25820C,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 13 20 00 
74951,="15:44:27.516",0xB2582D4,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 15 A4 5E 00 
74952,="15:44:27.516",0xB25839C,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 00 13 00 00 00 
74953,="15:44:27.516",0xB2587E8,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
74954,="15:44:27.526",0xB25A91C,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 13 21 00 
74955,="15:44:27.526",0xB25A9E4,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 15 A4 5C 01 
74956,="15:44:27.526",0xB25AAAC,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 01 13 00 00 00 
74957,="15:44:27.536",0xB25D220,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 13 22 00 
74958,="15:44:27.536",0xB25D2E8,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 18 A4 5B 02 
74959,="15:44:27.536",0xB25D3B0,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 02 13 00 00 00 
74960,="15:44:27.538",0xB25D734,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
74961,="15:44:27.546",0xB25F6D8,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 0B 23 00 
74962,="15:44:27.546",0xB25F7A0,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 18 A4 5F 03 
74963,="15:44:27.546",0xB25F8CC,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 03 0B 00 00 00 
74964,="15:44:27.548",0xB25FF0C,1,Rx,0x314,Standard Frame,data frame,8,CAN,x| 00 00 00 00 00 00 B4 01 
74965,="15:44:27.548",0xB25FFD4,1,Rx,0x32E,Standard Frame,data frame,8,CAN,x| 00 00 00 02 64 00 00 00 
74966,="15:44:27.556",0xB262108,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 13 20 00 
74967,="15:44:27.556",0xB26216C,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 18 A4 5F 00 
74968,="15:44:27.556",0xB262298,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 00 13 00 00 00 
74969,="15:44:27.558",0xB2626E4,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
74970,="15:44:27.566",0xB2644F8,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 14 21 00 
74971,="15:44:27.566",0xB2645C0,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 17 A4 5E 01 
74972,="15:44:27.566",0xB2646EC,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 01 14 00 00 00 
74973,="15:44:27.576",0xB266C08,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 14 22 00 
74974,="15:44:27.576",0xB266CD0,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 17 A4 5D 02 
74975,="15:44:27.576",0xB266D98,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 02 14 00 00 00 
74976,="15:44:27.576",0xB266EC4,1,Rx,0x310,Standard Frame,data frame,8,CAN,x| 01 3D 00 00 00 00 08 00 
74977,="15:44:27.576",0xB266F8C,1,Rx,0x318,Standard Frame,data frame,8,CAN,x| 01 41 FF 00 00 00 10 80 
74978,="15:44:27.576",0xB2672AC,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
74979,="15:44:27.586",0xB26950C,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 14 23 00 
74980,="15:44:27.586",0xB2695D4,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 1A A4 5C 03 
74981,="15:44:27.586",0xB26969C,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 03 14 00 00 00 
74982,="15:44:27.596",0xB26BA28,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 0B 20 00 
74983,="15:44:27.596",0xB26BAF0,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 1B A4 5F 00 
74984,="15:44:27.596",0xB26BBB8,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 00 0B 00 00 00 
74985,="15:44:27.596",0xB26C004,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
74986,="15:44:27.606",0xB26E3F4,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 14 21 00 
74987,="15:44:27.606",0xB26E4BC,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 1B A4 60 01 
74988,="15:44:27.606",0xB26E584,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 01 14 00 00 00 
74989,="15:44:27.616",0xB270848,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 14 22 00 
74990,="15:44:27.616",0xB2708AC,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 18 A4 5E 02 
74991,="15:44:27.616",0xB2709D8,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 02 14 00 00 00 
74992,="15:44:27.616",0xB270D5C,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
74993,="15:44:27.626",0xB272F58,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 14 23 00 
74994,="15:44:27.626",0xB272FBC,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 18 A4 5D 03 
74995,="15:44:27.626",0xB2730E8,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 03 14 00 00 00 
74996,="15:44:27.636",0xB2757F8,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 14 20 00 
74997,="15:44:27.636",0xB2758C0,1,Rx,0x120,Standard Frame,data frame,6,CAN,x| 02 43 1A A4 5C 00 
74998,="15:44:27.636",0xB2759EC,1,Rx,0x122,Standard Frame,data frame,8,CAN,x| B0 00 00 00 14 00 00 00 
74999,="15:44:27.638",0xB275E38,1,Rx,0x13F,Standard Frame,data frame,8,CAN,x| 00 12 C0 00 00 00 00 00 
75000,="15:44:27.646",0xB277D14,1,Rx,0x124,Standard Frame,data frame,8,CAN,x| 68 12 C0 1D 88 0B 21 00 
